Name,Address,Accreditation Date
"Fisher Scientific Company, LLC dba Fisher Scientific and Fisher Healthcare","325 Bowles RoadAgawam, MA 01001",Reaccreditation in process
"Fisher Scientific Company, LLC dba Fisher Scientific and Fisher Healthcare","7383 Empire Drive, Ste. AFlorence, KY 41042",04/12/21
"Fisher Scientific Company, LLC dba Fisher Scientific and Fisher Healthcare","4951 Langdon Rd, Ste 170Dallas, TX 75241",Reaccreditation in process
"Fisher Scientific Company, LLC dba Fisher Scientific and Fisher Healthcare","3315 Atlantic AvenueRaleigh, NC 27604",Reaccreditation in process
"Fisher Scientific Company, LLC dba Fisher Scientific and Fisher Healthcare","5902 Hopkins Road, Bldg 22Tracy, CA 95377",Reaccreditation in process
"Fisher Scientific Company, LLC dba Fisher Scientific and Fisher Healthcare","14302 24th Street East Ste BSumner, WA 98390",08/06/21
Flywheel Healthcare LLC dba Young at Heart Distribution,"10330 N Meridian Street, Suite 130Indianapolis, IN 46290",02/24/21
"Focus Heath Group, Inc dba Focus Heath Group ","5802 Kingston PikeKnoxville, TN 37919",02/18/22
"Foundation Care, LLC","4090 Wedgeway CtEarth City, MO 63045",Reaccreditation in process
"Fresenius Kabi, LLC","5245 North Sloan Lane, Suite 100ANorth Las Vegas, NV 89115",Reaccreditation in process
"Fresenius Kabi, LLC","402 Apple Valley Road, Suite ADuncan, SC 29334",Reaccreditation in process
"Fresenius Kabi, LLC","11900 122nd Street, Suite APleasant Prairie, WI 53158",10/26/21
"Fresenius USA Manufacturing, Inc dba Fresenius Medical Care North America","2865 Dave Lyle BlvdRock Hill, SC 29730",02/03/23
"Fresenius USA Manufacturing, Inc dba Fresenius Medical Care North America","555 Blue Heron Drive, Suite 100Oregon, OH 43616",Reaccreditation in process
"Fresenius USA Manufacturing, Inc dba Fresenius Medical Care North America","5300 95th AvenueKenosha, WI 53144",Reaccreditation in process
"Fresenius USA Manufacturing, Inc dba Fresenius Medical Care North America","375 N Depot DrOgden, UT 84404",05/11/21
"Fresenius USA Manufacturing, Inc dba Fresenius Medical Care North America","600 Sharkey DriveMaumelle, AR 72113",09/07/21
"Fresenius USA Manufacturing, Inc dba Fresenius Medical Care North America","549 Sand Sage Road NWLos Lunas, NM 87031",09/07/21
"Fresenius USA Manufacturing, Inc dba Fresenius Medical Care North America","15 Ritter WayLebanon, PA 17042",05/06/22
"Galderma Laboratories, LP","2929 Texas Longhorn WayFort Worth, TX 76177",10/17/22
"Gateway Health Resources, LLC dba  GHR, Second Source Rx, and/or 2SRX","13600 Shoreline Drive Suite 200Earth City, MO 63045",Reaccreditation in process
GE Healthcare,"3350 N. Ridge AvenueArlington Heights, IL 60004",02/21/23
"GEM Edwards, Inc dba Gemco Medical","5640 Hudson Industrial PkwyHudson, OH 44236",04/05/22
"Genentech USA, Inc", KY ,01/15/22
"Genentech USA, Inc", OR ,01/15/22
"Genetco, Inc","711 Union PkwyRonkonkoma, NY 11779",07/17/21
Geodis Logistics LLC,"1101 Whitaker RoadPlainfield, IN 46168",05/10/22
"Giant Eagle, Inc dba Giant Eagle RX Distribution Center","2500 Lovi RdFreedom, PA 15042",Reaccreditation in process
"Glenmark Pharmaceuticals Inc, USA","750 Corporate DrMahwah, NJ 07430",04/14/22
"Glenmark Pharmaceuticals Inc., USA","301 Island RdMahwah, NJ 07430",12/18/20
"GLOBALRx, INC","2220 Leah Dr, Ste 2Hillsborough, NC 27278",02/13/21
Golden State Medical Supply Inc.,"5247 Camino RuizCamarillo, CA 93012",02/08/22
"Golden State Medical Supply, Inc","5187 Camino RuizCamarillo, CA 93012",01/18/22
Greenhill Trading Inc.,"5701 Foster AveBrooklyn, NY 11234",09/12/22
"H2-Pharma, LLC","611 Industrial Park BoulevardMontgomery, AL 36117",12/12/23
"Healix Infusion Therapy, LLC","1330 Industrial Blvd, Suite 200Sugar Land, TX 77478",Reaccreditation in process
"Health Coalition, Inc","8324 Northwest 30th TerraceDoral, FL 33122",02/08/22
"Healthcare and Diagnostic Solutions, Inc","29922 County Rd 49Loxley, AL 36551",01/25/22
HemaSource Inc.,"485 South 5700 West, Suite 400Salt Lake City, UT 84104",05/27/21
"HemaSource, Inc.","541 Perkins Jones Rd, NE Ste 200Warren, OH 44483",10/16/23
"Henry Schein, Inc","5315 W 74th StIndianapolis, IN 46268",07/27/21
"Henry Schein, Inc","8691 Jesse B Smith CtJacksonville, FL 32219",07/27/21
"Henry Schein, Inc","1001 Nolen Dr, #400Grapevine, TX 76051",12/05/21
"Henry Schein, Inc","41 Weaver RdDenver, PA 17517",09/12/21
"Henry Schein, Inc","255 Vista BlvdSparks, NV 89434",Reaccreditation in process
"Henry Schein, Inc","180 Vista BlvdSparks, NV 89434",Reaccreditation in process
"Henry Schein, Inc","5445 Guion RdIndianapolis, IN 46254",Reaccreditation in process
"Henry Schein, Inc dba General Injectables & Vaccines or GIV","80 Summit View LnBastian, VA 24314",11/07/21
"Henry Schein, Inc.","6055 Commerce DrWhitestown, IN 46075",05/22/22
"Henry Schein, Inc.","3701 Litsey RdFt Worth, TX 76177",04/22/22
"Hercules Pharmaceuticals, Inc.","27 Seaview BoulevardPort Washington, NY 11050",Reaccreditation in process
HF Acquisition Co. LLC dba HealthFirst,"11629 49th PL WMukilteo, WA 98275",Reaccreditation in process
"HLS Therapeutics (USA), Inc","919 Conestoga Rd, Bldg 3, Ste 310Rosemont, PA 19010",Reaccreditation in process
"Howell Marketing Services, a division of F.M. Howell & Company","100 E Miller StElmira, NY 14902",03/25/21
"HPSRx Enterprises, Inc","1640 Roanoke BlvdSalem, VA 24153",09/08/22
"Hy-Vee, Inc","1801 Osceola AveChariton, IA 50049",03/26/21
"HyGen Pharmaceuticals, Inc","8635 154th Ave NERedmond, WA 98052",04/23/21
"ICU Medical Sales, Inc","13939 Borate StSanta Fe Springs, CA 90670",04/24/22
"ICU Medical Sales, Inc","920 8th Ave EastKing of Prussia, PA 19406",04/24/22
"ICU Medical, Inc dba ICU Medical Sales, Inc","2901 N Houston School Road Lancaster, TX 75134 ",05/05/21
"Imprimis NJOF, LLC","1705 Route 46Ledgewood, NJ 07852",09/08/22
Independent Pharmaceutical,"854 E Crescentville RdWest Chester, OH 45246",03/18/21
Independent Pharmacy Cooperative,"1550 Columbus StSun Prairie, WI 53590",11/17/21
Independent Pharmacy Distributor LLC,"1107 West Market Center DrHigh Point, NC 27260",Reaccreditation in process
Indiana University Health Integrated Service Center,"390 Airtech ParkwayPlainfield, IN 46168",11/16/22
"Inmar Rx Solutions, Inc.","3845 Grand Lakes Way, Suite 125Grand Prairie, TX 75050",05/14/21
INO Therapeutics LLC,"3600 Industrial Blvd, Ste CWest Sacramento, CA 95691",Reaccreditation in process
INO Therapeutics LLC,"1200 Northbrook Pkwy, Ste 60Suwanee, GA 30024",Reaccreditation in process
"INO Therapeutics, LLC","175 E Crossroads Pkwy, Ste CBolingbrook, IL 60440",Reaccreditation in process
"INO Therapeutics, LLC","875 W Sandy Lake Rd #300Coppell, TX 75019",Reaccreditation in process
"INO Therapeutics, LLC","22 World's Fair Dr, Ste JSomerset, NJ 08873",Reaccreditation in process
"Integrated Commercialization Solutions, LLC ", KY ,06/12/22
"Integrated Commercialization Solutions, LLC", NV ,09/08/21
"Integrated Commercialization Solutions, LLC", OH ,01/23/21
"Integrated Commercialization Solutions, LLC", KY ,Reaccreditation in process
Internet Services Corporation dba International Pharma Packaging & Distribution,"1300 Altura RdFort Mill, SC 29708",12/08/21
"Intervet, Inc dba Merck Animal Health","10488 S 136th StOmaha, NE 68138",01/07/21
"J Knipper and Company, Inc","One Healthcare WayLakewood, NJ 08701",Reaccreditation in process
"J Knipper and Company, Inc","1550 Oak StLakewood, NJ 08701",Reaccreditation in process
"J Knipper and Company, Inc","1250 Patrol RdCharlestown, IN 47111",04/12/22
J M Smith Corporation dba Smith Drug Company,"1104 Jones RdParagould, AR 72450",10/10/21
J M Smith Corporation dba Smith Drug Company,"9098 Fairforest RdSpartanburg, SC 29301",Reaccreditation in process
J M Smith Corporation dba Smith Drug Company,"520 Arrowhead DriveCarey, OH 43316",08/13/21
Jams Wholesale Distribution Services LLC dba JamsRx - Coconut Creek,"4811 Lyons Technology PkwyUnit 11, 20, 23, 24, 25, 26Coconut Creek, FL 33073",02/20/21
"JOM Pharmaceutical Services, Inc","925 Conestoga PkwyShepherdsville, KY 40165",Reaccreditation in process
"JOM Pharmaceutical Services, Inc","1 Cottontail LaneSomerset, NJ 08873",05/08/22
Jubilant DraxImage Inc dba Jubilant Radiopharma,"1835 Nonconnah BlvdMemphis, TN 38132",06/29/23
Kaiser Foundation Hospitals,"300 Pullman Street Admin BldgLivermore, CA 94551",Reaccreditation in process
KBS SOLUTIONS LLC dba SOLA Pharmaceuticals,"655 Highlandia Dr. Ste. BBaton Rouge, LA 70810",Reaccreditation in process
"Kenco Logistic Services, LLC","4309 Distribution DrChattanooga, TN 37416",Reaccreditation in process
"Kenco Logistic Services, LLC dba Kenco Bracco","4320 Executive Dr, Ste 100Southaven, MS 38672",10/19/21
"KeySource Acquisition, LLC dba KeySource, Praxis","7800 Palace Drive, Ste 200Cincinnati, OH 45249",Reaccreditation in process
"Kowa Pharmaceuticals America, Inc","530 Industrial Park BlvdMontgomery, AL 36117",09/08/22
"KPH Healthcare Services, Inc","520 E Main StGouverneur, NY 13642",Reaccreditation in process
Kremers Urban Pharmaceuticals Inc,"1101 C Avenue WSeymour, IN 47274",Reaccreditation in process
Kroger Limited Partnership I dba Peyton's Southeastern,"153 Refreshment LnCleveland, TN 37311",08/10/22
Kroger Limited Partnership II dba Peyton's Northern,"1111 S Adams StBluffton, IN 46714",11/30/21
Kuehne + Nagel Inc.,"1025 Columbia Road, Ste 110Plainfield, IN 46168",03/26/21
Kuehne + Nagel Inc.,"9425 Nevada StreetRedlands, CA 92374",12/29/21
"Kuehne + Nagel, Inc","1800 Waters Ridge DrLewisville, TX 75057",Reaccreditation in process
"Kuehne + Nagel, Inc","6005 Freeport Ave, Suite 103Memphis, TN 38141",05/11/22
"Kuehne + Nagel, Inc","4080 Executive DrSouthaven, MS 38672",11/30/23
L. Perrigo Company,"900 Industrial DrAllegan, MI 49010",01/18/23
"Larken Laboratories, Inc","276 Nissan Pkwy, Bldg A, Ste 200Canton, MS 39046",06/04/21
Legacy Health US LLC dba Legacy Health ,"255 Hudson StHackensack, NJ 07601",03/11/22
Legacy Pharmaceutical Packaging,"13333 Lakefront DrEarth City, MO 63045",Reaccreditation in process
Leiters Health,"13796 Compark BoulevardEnglewood, CO 80112",10/12/22
"Letco Holdings, LLC dba Letco Medical","1316 Commerce Dr NWDecatur, AL 35601",Reaccreditation in process
"Life Science Logistics, LLC ","3860 South 500 East Whitestown, IN 46075",03/31/21
Life-Assist Incorporated,"10816 Strang Line RdLenexa, KS 66215",05/22/23
"Life-Assist, Inc","11277 Sunrise Park DriveRancho Cordova, CA 95742",12/02/21
"LifeScience Logistics, LLC dba LifeScience Logistics","1105 E Northfield DrBrownsburg, IN 46112",01/11/22
"Lincare Pharmacy Services, Inc","3985 Gateway Centre Blvd, Ste 220Pinellas Park, FL 33782",07/29/22
"Longs Drug Stores California, LLC dba CVS Distribution Center","2400 Keystone Pacific Pkwy, Ste BPatterson, CA 95363",11/19/21
"Louisiana Wholesale Drug Co, Inc", LA ,Reaccreditation in process
"Lupin Pharmaceuticals, Inc","400 Campus DrSomerset, NJ 08873",Reaccreditation in process
"M&D Specialty Distribution, LLC","10301 Highway 1 SouthShreveport, LA 71115",12/21/21
"MAGNA Pharmaceuticals, Inc.","10801 Electron Drive, Ste 100Louisville, KY 40299",08/13/21
Maks Pharma and Diagnostics Inc,"2365 Milburn Avenue, Bldg 2Baldwin, NY 11510",Reaccreditation in process
"Masters Drug Company, Inc.","4200 Binion Way Ste 100Mason, OH 45036",08/31/21
"McGuff Company, Inc","3524 W Lake Center Dr, Ste BSanta Ana, CA 92704",Reaccreditation in process
McKesson Corporation dba McKesson Drug Company,"One Commerce DrO'Fallon, MO 63366",04/19/22
McKesson Corporation dba McKesson Drug Company,"1995 McKesson St, Ste 101Aurora, IL 60502",05/24/22
McKesson Corporation dba McKesson Drug Company,"495 S 107th AveTolleson, AZ 85353",Reaccreditation in process
McKesson Corporation dba McKesson Drug Company,"4836 Southridge BlvdMemphis, TN 38141",01/12/21
McKesson Corporation dba McKesson Drug Company,"3775 Seaport BlvdWest Sacramento, CA 95691",03/30/21
McKesson Corporation dba McKesson Drug Company,"1900 S 4490 WSalt Lake City, UT 84104",01/25/23
McKesson Corporation dba McKesson Drug Company,"9700 SW Commerce CirWilsonville, OR 97070",01/18/23
McKesson Corporation dba McKesson Drug Company,"14500 E 39th AveAurora, CO 80011",01/18/23
McKesson Corporation dba McKesson Drug Company,"3400 Fraser StAurora, CO 80011",Reaccreditation in process
McKesson Corporation dba McKesson Drug Company,"8313 Polk LnOlive Branch, MS 38654",06/28/21
McKesson Corporation dba McKesson Drug Company,"10504 McKesson DrRuther Glen, VA 22546",02/23/21
McKesson Corporation dba McKesson Drug Company,"9501 S. Norwalk BlvdSanta Fe Springs, CA 90670",Reaccreditation in process
McKesson Corporation dba McKesson Drug Company,"One John Henry DrRobbinsville, NJ 08691",03/24/23
McKesson Corporation dba McKesson Drug Company  ,"2101 12th Ave SClear Lake, IA 50428",02/18/22
McKesson Corporation dba McKesson Drug Company,"10 Hudson Crossing DrMontgomery, NY 12549",Reaccreditation in process
McKesson Medical-Surgical Inc,"6500 Adelaide CtGroveport, OH 43125",08/29/21
McKesson Medical-Surgical Inc.,"2530 B St NW, #101Auburn, WA 98001",Reaccreditation in process
McKesson Medical-Surgical Inc.,"3500 Centerpoint Dr, Ste AUrbancrest, OH 43123",04/19/22
McKesson Medical-Surgical Inc.,"4250 Patriot Dr, Ste 100Grapevine, TX 76051",05/08/22
McKesson Medical-Surgical Inc.,"1405 N Chouteau TrfyKansas City, MO 64120",Reaccreditation in process
McKesson Medical-Surgical Inc.,"55 Lyman StNorthborough, MA 01532",12/18/20
McKesson Medical-Surgical Inc.,"16043 El Prado AveChino, CA 91708",Reaccreditation in process
McKesson Medical-Surgical Inc.,"4027 Martinsburg PikeClear Brook, VA 22624",Reaccreditation in process
McKesson Medical-Surgical Inc.,"12999 Wilfred Ln, Ste 100Rogers, MN 55374",05/12/21
McKesson Medical-Surgical Inc.,"7701 Foothills Blvd.Roseville, CA 95747",04/16/21
McKesson Medical-Surgical Inc.,"885 Paragon WayRock Hill, SC 29730",06/03/22
McKesson Medical-Surgical Inc.,"1005 Satellite BlvdSuwanee, GA 30024",Reaccreditation in process
McKesson Medical-Surgical Inc.,"3769 Commerce Center BlvdBethlehem, PA 18015",08/18/22
McKesson Medical-Surgical Inc.,"Hanover Park, IL ",03/18/21
McKesson Medical-Surgical Inc.,"18543 E Gale AveCity of Industry, CA 91748",02/02/21
McKesson Medical-Surgical Inc.,"4815 Executive Park CT # 103Jacksonville, FL 32216",02/02/21
McKesson Medical-Surgical Inc.,"2159 S. Shiloh, Suite 3Garland, TX 75041",Reaccreditation in process
McKesson Medical-Surgical Inc.,"520 Lindbergh DriveMoon Township, PA 15108",Reaccreditation in process
McKesson Medical-Surgical Inc.,"Shepherdsville, KY ",02/10/23
McKesson Medical-Surgical Inc.,"Manteno, IL ",Reaccreditation in process
McKesson Medical-Surgical Inc.,"Bartlett, IL ",06/17/21
"McKesson Specialty Care Distribution, LLC","401 Mason RdLaVergne, TN 37086",06/15/21
McKesson Specialty Distribution LLC,"Olive Branch, MS ",Reaccreditation in process
McKesson Specialty Distribution LLC,"Shepherdsville, KY ",Reaccreditation in process
"McKesson Specialty Distribution, LLC","Memphis, TN ",09/17/21
"MD Logistics, LLC","1301 Perry RdPlainfield, IN 46168",04/26/22
"MD Logistics, LLC","12125 Moya BlvdReno, NV 89506",09/02/21
"MD Logistics, LLC","2150 Stanley Road, Ste 100Plainfield, IN 46168",03/31/22
"MD Logistics, LLC","2370 Perry RdPlainfield, IN 46168",11/01/21
MDR Specialty Distribution Corporation,"230 Enterprise DrNewport News, VA 23603",12/18/20
"Medi-Physics, Inc dba GE Healthcare","900 Durham AveSouth Plainfield, NJ 07080",11/12/21
"Medico-Mart, Inc.","2323 Corporate DrWaukesha, WI 53189",02/10/23
"Medisca, Inc","661 Rte 3, Unit CPlattsburgh, NY 12901",05/11/22
"Medisca, Inc","6641 N Belt Line Rd, Suite 130Irving, TX 75063",Reaccreditation in process
"Medisol Plus, LLC dba Medisol +","1771 International PkwyRichardson, TX 75081",Reaccreditation in process
"Medline Industries, Inc","5701 Promontory Parkway Ste 100Tracy, CA 95377",Reaccreditation in process
"Medline Industries, Inc","1500 Medline PlaceMcDonough, GA 30253",Reaccreditation in process
"Medline Industries, LP","1820 S 5200 WSalt Lake City, UT 84104",04/22/21
"Medline Industries, LP","1900 Meadowville Technology PkwyChester, VA 23836",03/08/22
"Medline Industries, LP","13115 Brockton LnNorth Rogers, MN 55374",Reaccreditation in process
"Medline Industries, LP","8787 W Buckeye RdTolleson, AZ 85353",Reaccreditation in process
"Medline Industries, LP","21111 E. 36th DrAurora, CO 80011",Reaccreditation in process
"Medline Industries, LP","1 Medline DrWilmer, TX 75172",Reaccreditation in process
"Medline Industries, LP","1960 W. Miro WayRialto, CA 92376",04/29/21
"Medline Industries, LP","3770 Hogum Bay Rd NELacey, WA 98516",12/31/21
"Medline Industries, LP","251 Hilton DriveJeffersonville, IN 47130",04/15/22
"Medline Industries, LP","1062 Old Dixie HighwayAuburndale, FL 33823",10/27/22
"Medline Industries, LP","1401 N Universal AveKansas City, MO 64120",03/05/21
"Medline Industries, LP","2200 Cornerstone ParkwayGrayslake, IL 60030",04/01/21
"Medline Industries, LP","1040 Enterprise ParkwayWest Jefferson, OH 43162",07/15/21
"Medline Industries, LP","81 Campanelli DriveUxbridge, MA 01569",08/26/21
"Medline Industries, LP","3446 Highway 51 NSouthaven, MS 38672",06/28/21
"Medline Industries, LP","239 Belvidere RoadPerryville, MD 21903",08/17/22
"Medline Industries, LP","494 State Route 416Montgomery, NY 12549",09/22/22
"MedMax Rx, Inc.","48 South MallPlainview, NY 11803",Reaccreditation in process
"Medtronic Logistics, LLC","4340 Swinnea RoadMemphis, TN 38118",11/19/22
"Meijer Distribution, Inc dba Meijer Distribution, Inc #90","2721 Walker Ave NWGrand Rapids, MI 49544",06/18/22
Merck Sharp & Dohme LLC,"770 Sumneytown PikeWest Point, PA 19486",Reaccreditation in process
"Merit Healthcare International, Inc dba Merit Pharmaceutical","2611 N San Fernando RdLos Angeles, CA 90065",10/07/21
Merz Aesthetics Inc dba Merz North America Inc,"4133 Courtney Rd Ste 10Franksville, WI 53126",01/28/23
"Merz North America, Inc","13900 Grandview ParkwaySturtevant, WI 53177",03/28/21
"Methapharm, Inc","11772 W Sample Rd, Ste 101Coral Springs, FL 33065",Reaccreditation in process
Midwest Veterinary Supply Inc,"2420 Boulevard of the GeneralsNorristown, PA 19403",09/04/21
"Midwest Veterinary Supply, Inc","5374 Maly RdSun Prairie, WI 53590",08/06/21
"Midwest Veterinary Supply, Inc","6251 Innovation BlvdFort Wayne, IN 46818",Reaccreditation in process
"Midwest Veterinary Supply, Inc","21467 Holyoke AveLakeville, MN 55044",Reaccreditation in process
"Midwest Veterinary Supply, Inc.","3600 Army Post Road, Ste 400Des Moines, IA 50321",Reaccreditation in process
Mission Pharmacal Company,"38505 Interstate 10 WBoerne, TX 78006",06/25/21
"MK Medical Supply Company, LLC","425 Victory LaneSpringboro, OH 45066",10/08/21
"Moderna US, Inc.","5 Vaughn Drive, Ste 200Princeton, NJ 08540",08/31/23
Morris & Dickson Co LLC,"10301 Highway 1 SShreveport, LA 71115",08/07/21
MWI Veterinary Supply Co dba MWI Animal Health,"2450 Midpoint DrEdwardsville, KS 66111-8803",Reaccreditation in process
MWI Veterinary Supply Co dba MWI Animal Health,"1499 Zeager Rd, Ste 2Elizabethtown, PA 17022",04/09/21
MWI Veterinary Supply Co dba MWI Animal Health,"15845 E 32nd Ave, Ste HAurora, CO 80011",05/15/22
MWI Veterinary Supply Co dba MWI Animal Health,"5655 Eleventh Ave EShakopee, MN 55379",05/13/22
MWI Veterinary Supply Co dba MWI Animal Health,"5025 State Route 267Lebanon, IN 46052",Reaccreditation in process
MWI Veterinary Supply Inc dba MWI Animal Health,"2117 N Elder StNampa, ID 83687",04/01/23
"MXR Imaging, Inc","604 Lambert Point Dr, Bldg CHazelwood, MO 63042",03/20/21
"Mylan Pharmaceuticals, Inc dba Mylan Distribution Center","2898 Manufacturers RdGreensboro, NC 27406",12/08/21
"NAR Medical Depot, LLC dba NAR MD","54 Tedwall CtGreer, SC 29650",Reaccreditation in process
"National Pharmaceutical Returns, Inc ","4164 Northwest Urbandale DrUrbandale, IA 50322",09/03/21
"Nationwide Medical/Surgical, Inc","14141 Covello St, Ste 6CVan Nuys, CA 91405",Reaccreditation in process
Nationwide Pharmaceutical LLC dba Medical Wholesale,"1211 Arion Pkwy, Suite 118San Antonio, TX 78216",Reaccreditation in process
"NCS Healthcare of Kentucky, LLC dba Vangard Labs","120 Carroll Knicely DrGlasgow, KY 42141",09/11/21
NDC Distributors LLC,"1825 65th StreetBrooklyn, NY 11204",04/23/20
NDC Distributors LLC,"1825 65th StreetBrooklyn, NY 11204",Reaccreditation in process
Nephron Pharmaceuticals Corporation,"4500 12th Street ExtensionWest Columbia, SC 29172",Reaccreditation in process
NextGen Pharmaceuticals LLC,"1613 BroadwayBrooklyn, NY 11207",11/16/22
"Northwest Generics, LLC dba NW Generic Warehouse","916 W Evergreen BlvdVancouver, WA 98660",09/14/21
"Northwind Pharmaceuticals, LLC","4838 Fletcher Ave, Suite 1000Indianapolis, IN 46203",Reaccreditation in process
Nortru LLC,"421 Lycaste StDetroit, MI 48214",03/27/22
"NuCare Pharmaceuticals, Inc.","622 W. Katella AveOrange, CA 92867",03/08/21
"Oak Drugs, Inc.","80 Red Schoolhouse Rd, Bldg 2, Ste 20Chestnut Ridge, NY 10977",Reaccreditation in process
"On Target Laboratories, Inc.","1281 Win Hentschel Blvd, Ste 2542West Lafayette , IN 47906-4357",08/17/22
Optime Care Inc,"4064 Wedgeway CtEarth City, MO 63045",Reaccreditation in process
"Optum Frontier Therapies II, LLC","6425 Santa Margarita St. Unit 120Las Vegas, NV 89118",08/12/22
"Optum Frontier Therapies, LLC","325 W Atherton Rd, Ste 1WFlint, MI 48507",05/13/22
"OptumServe Health Services, Inc","3237 Airport RdLa Crosse, WI 54603",12/16/21
Organon LLC dba Organon ,"30 Hudson St 33rd FloorJersey City, NJ 07302",11/16/22
"Ortho-Clinical Diagnostics, Inc.","6005 Freeport Avenue Suite 130Memphis, TN 38141",04/07/23
"Owens & Minor Distribution, Inc","11440 E 56th AveDenver, CO 80239",Reaccreditation in process
"Owens & Minor Distribution, Inc","2151 County Rd H2WMounds View, MN 55112",Reaccreditation in process
"Owens & Minor Distribution, Inc","5125 Ontario Mills ParkwayOntario, CA 91764",07/15/21
"Owens & Minor Distribution, Inc","15 Gateway Commerce Center Dr WEdwardsville, IL 62025",Reaccreditation in process
"Owens & Minor Distribution, Inc","1601 SE Gateway Drive, Suite 100Grimes, IA 50111",01/10/21
"Owens & Minor Distribution, Inc dba Owens & Minor","1605 Worldwide BlvdHebron, KY 41048",Reaccreditation in process
"Owens & Minor Distribution, Inc dba Owens & Minor","437 Tower BlvdCarol Stream, IL 60188",11/09/21
"Owens & Minor Distribution, Inc dba Owens & Minor","36663 Van Born Rd, Ste 390Romulus, MI 48174",Reaccreditation in process
"Owens & Minor Distribution, Inc dba Owens & Minor Distribution ","550 Lakeside Pkwy, Ste 200, Ste 200Flower Mound, TX 75028",Reaccreditation in process
"Owens & Minor Distribution, Inc dba Owens & Minor Healthcare Logistics","6201 Global Distribution Way, Ste 101Louisville, KY 40228",Reaccreditation in process
"Owens & Minor Distribution, Inc.","2820 Global Dr.Groveport, OH 43125",Reaccreditation in process
"PAI Holdings, LLC dba Pharmaceutical Associates, Inc","1700 Perimeter RoadGreenville, SC 29605",Reaccreditation in process
"Pajunk Medical Systems, LP","4575 Marconi DriveAlpharetta, GA 30005",11/16/22
Paragon Enterprises Inc.,"3300 Corporate Ave #114Weston, FL 33331",Reaccreditation in process
"Patterson Dental Supply, Inc.","6110 Technology Center DriveIndianapolis, IN 46278",09/28/21
"Patterson Logistics Services, Inc","925 Carolina Pines Blvd, Ste BBlythewood, SC 29016",Reaccreditation in process
"Patterson Logistics Services, Inc","6419 South 228th Street, Suite 101Kent, WA 98032",Reaccreditation in process
"Patterson Logistics Services, Inc","800 Monte Vista DrDinuba, CA 93618",04/09/21
"Patterson Logistics Services, Inc","1905 Lakewood DriveBoone, IA 50036",05/11/21
"Patterson Logistics Services, Inc","1004 Cornerstone DrMt Joy, PA 17552",07/11/22
"Patterson Logistics Services, Inc","7055 Cleveland RdSouth Bend, IN 46628",Reaccreditation in process
"Patterson Veterinary Supply, Inc","5000 A Dahlia StreetDenver, CO 80216",Reaccreditation in process
"Patterson Veterinary Supply, Inc.","21111 N 9th PlacePhoenix, AZ 85024",12/02/21
"Patterson Veterinary Supply, Inc.","2401 Whitehall Park Drive, Suite 100Charlotte, NC 28273",12/06/21
PCCA,"9901 S Wilcrest DrHouston, TX 77099",Reaccreditation in process
"PD-Rx Pharmaceuticals, Inc","727 N Ann ArborOklahoma City, OK 73127",09/03/21
"Penn Veterinary Supply, Inc","53 Industrial CircleLancaster, PA 17601",Reaccreditation in process
"Performance Health Supply, LLC","9040 Orly Road, Suite 200Indianapolis, IN 46241",Reaccreditation in process
"Pfizer, Inc","10501 80th AvePleasant Prairie, WI 53158",12/16/21
"Pfizer, Inc","1855 Shelby Oaks Dr NMemphis, TN 38134",04/04/22
Pharma Distribution & Fulfillment Services dba PDFS,"634 Quality LaneSouth Beloit, IL 61080",08/07/23
"Pharma Logistics, LTD","1801 N Butterfield RdLibertyville, IL 60048",03/19/21
Pharmaceutical Inventories Inc dba Pharmaceutical Returns Service,"720 Heartland Drive, Suite BSugar Grove, IL 60554",11/21/21
"Pharmacy Buying Association, Inc, dba PBA Health","1825 NW Vivion RdRiverside, MO 64150",05/24/22
"PharmaLink, Inc dba PharmaLink","8285 Bryan Dairy Rd, #160Largo, FL 33777",Reaccreditation in process
Pharmasense LLC dba Global Pharmacy Wholesale,"23456 Kean StreetDearborn, MI 48124",Reaccreditation in process
Pharmox,"5571-B, US Hwy 17 NKingsland, GA 31548",Reaccreditation in process
"PharmPak, Inc","1221 Andersen Dr, Ste BSan Rafael, CA 94901",Reaccreditation in process
"Pharmsource, LLC","123 Newman DriveBrunswick, GA 31520",02/19/21
"Phoenix Assurance, LLC","4755 Southpoint Dr, Ste 101Memphis, TN 38118",05/22/23
"Phoenix Assurance, LLC","4835 South Mendenhall RoadMemphis, TN 38141",11/21/23
"Phoenix Assurance, LLC dba Phoenix Assurance","4750 Pleasant Hill RdMemphis, TN 38118",10/15/21
"PI Services, LLC","2010 Filmore AvenueErie, PA 16506",Reaccreditation in process
"Positudes, Inc dba The Alliance Pharmacy","44 Bond StWestbury, NY 11590",04/12/22
"Prasco, LLC dba Prasco Laboratories","6125 Commerce CtMason, OH 45040",11/29/22
"Prasco, LLC dba Prasco Laboratories","7160 Industrial Row DrMason, OH 45040",Reaccreditation in process
"Precision Dose, Inc","722 Progressive LnSouth Beloit, IL 61080",03/22/22
"Preferred Pharmaceuticals, Inc","1250 N Lakeview Ave, Unit OAnaheim, CA 92807",01/27/22
"Premier Rx Wholesale, LLC dba Premier Rx Wholesale","4637 Interstate DrCincinnati, OH 45246",04/12/22
"Prescription Supply, Inc","2233 Tracy RoadNorthwood, OH 43619",10/30/21
